tweet_text,month_of_tweet
regranned from - #ciudadanoinformado #MartesDeMeditalks Hablemos del cancer de…,10
"Breast Cancer Awareness Month. Real men wear ""PINK"" @ Long Circular Gym",10
"Breast Cancer Awareness Month. Real men wear ""PINK"" @ Long Circular Gym",10
"One life, One beginnins & wake uppppp For your life en… …",10
Altruistic mode donating platelets for children with cancer!! #donor #kids #againstcancer…,11
THE KIND OF WINTERWEAR WOULD YOU JOIN OUR GROWING—THE IRONY IS DEAD AT AGE 61 PBS SAYS GWEN IFILL DIES OF CANCER AT AGE 14—YOU ARE LOVED—#U…,11
PLEASE SAY NO TO ANIMAL CRUELTY THIS JUST PUTS THE ICING ON THE FIRST DAY IN THE LIFE OF AN OVERALL STRATEGY TO K MORE FOR CANCER FIGHTING—…,11
"Part of my training was at the MD Anderson Cancer Center (Fellow Observer), which allows me to…",11
Tardes con mi bro cancer_mental y #caligulita #pet south of heaven… …,11
Cancer has no charm. #bluenovember #novembroazul #cancersucks #cancerkills #men #healthcare,11
#cancer never forgets a memory that has an emotional attachment to it,11
"Speaking to the Rotary Club about World Day for fighting prostate cancer ... So, what's up? all…",11
"No shave November is here!... #Movember Supporting the fight against men's prostate cancer,…",11
We made it to Machu Picchu! The trek for kids cancer for the… …,11
Bladder cancer panel w/ #oncoclinicas16pic.twitter.com/Nwzq3V8FPQ,11
Day 2 of trek for kids cancer is here! The journey to Machu Picchu… …,11
Trek for kids cancer is here jade_mcconkey… …,11
#ADULT—HITTING—SOME PEOPLE SAY RAY ALLEN PENS A LETTER IN THE BAG WE'RE GOING TO THE PINNACLE OF SUCCESS BE MORE FOR CANCER—I MISS YOU SO M…,11
Last day of the pink October! #bravoin with you against cancer breast always. Pink Halloween!…,10
Join me in accepting the challenge and raising awareness in the fight against prostate cancer.…,10
Just posted a photo @ Inca Hospital do Cancer III,10
The beginning of a #Cancer love affair is always super romantic.,10
#PINKTOBER...hey guys our final breast cancer awareness zumba class is tomorrow tuesday 25th…,10
"#Fight #against #breast #cancer Marathon ""puts breast cancer"" Against breast cancer. happier…",10
"49 years ago, a doctor told one lady she had cancer and she would never have anymore children.…",10
"#Marathon on #Sunday #ponleelpechoalcáncer Marathon ""puts breast cancer"" Against…",10
#YoLucho #Repost with repostapp ・・・ Who says cancer and chemo have to get get you…,10
